"Mes","comentario","text_tokens"
202006,"es parte de su trabajo les corresponde hacerlo en ningún momento andan asiendo favores con los usuarios porque la factura se paga tal como llega no veo porque publicar esa foto"," "
202006,"al igual aqui en usulutan puerto el triunfo tambien tenemos problemas con el internet"," "
202006,"buenas tardes alex con mucho gusto brindaremos atención a tu caso mediante inbox nos mantenemos a la espera de tus comentarios saludos"," "
202006,"buenos días compártenos los datos de tu servicio por inbox para poder verificar saludos"," "
202006,"que no cobren el servicio sino lo estan dando pues esta maldita empresa si uno se atrasa un dia en pagar cobra una multa casi de 4 dolares"," "
202006,"buenos días estamos en la disposición de ayudarte con lo que nos reportas envíanos por favor un inbox con tus datos para verificar quedamos a la espera de la información saludos"," "
202006,"buenos días estamos en la disposición de ayudarte con lo que nos reportas envíanos por favor un inbox con tus datos para verificar quedamos a la espera de la información saludos"," "
202006,"gracias por quere que el pueblo salvadoreño tenga servicio pero igual no deberían de cobrar mora a uno porque con un día que uno se pasa le cobran y no tendría que ser así si en verdad nos quieren ayudar es de esa forma que ustedes nos puedan ayudar no cobrar mora"," "
202006,"hola a través de este medio podemos ayudarte envíanos un inbox por favor saludos"," "
202006,"hola buenos días iliana un gusto saludarte permítenos verificar tu caso escríbenos de favor a través de inbox y con gusto daremos seguimiento y te ayudaremos con lo que nos comentas quedamos al pendiente de tu mensaje saludos"," "
202006,"ayudar igualmente en la facilidad de pago de facturas pues la mayoria no estamos trabajando"," "
202006,"hola buenos días carlos en caso de presentar inconvenientes para realizar tus pagos puedes enviarnos el número del servicio vía inbox y con gusto brindamos asistencia saludos"," "
202006,"hola buenos días carlos en caso de presentar inconvenientes para realizar tus pagos puedes enviarnos el número del servicio vía inbox y con gusto brindamos asistencia saludos"," "
202006,"colonia el milagro primera calle oriente arriba de los jusgados de san marcos san marcos san salvador"," "
202006,"compártenos los datos de tu servicio por inbox para poder ayudarte por favor quedamos a la espera"," "
202006,"los felicito señores de claro muy bueno de su parte"," "
202006,"la verdad desde enero no tengo buena señal la verdad no me llega pero ni al 0 9 y esto que es de 6 megas"," "
202006,"queremos ayudarte escríbenos en privado para revisar tu servicio quedamos atentos saludos"," "
202006,"queremos ayudarte escríbenos en privado para revisar tu servicio quedamos atentos saludos"," "
202006,"señores de claro aquí en colonia las palmeras no hay internet"," "
202006,"con gusto verificamos tu caso sin embargo es necesario nos escribas vía inbox estaremos al pendiente saludos"," "
202006,"les deberían de dar máscarillas de las que donaron kn95 a los empleados les toca comprar esos insumos"," "
202006,"yo ya tengo un dia y medio sin cable y inter soy de san ramon mejicanos ya reporte y no me resuelven nada pero no vaya ser q uno se retrase en pagar q le conbran interes y que ese tiempo q no he tenido el servicio siempre se lo cobran a uno"," "
202006,"buenos tardes estamos interesados en verificar tu caso por favor escríbenos por medio de inbox con tus datos personales estaremos atentos a tus comentarios saludos"," "
202006,"buenos tardes estamos interesados en verificar tu caso por favor escríbenos por medio de inbox con tus datos personales estaremos atentos a tus comentarios saludos"," "
202006,"mentira pésimo servicio ase 3 días reporte mal servicio a a raiz del mal tiempo aquí sin respuesta aún pero para cobró súper cachimbones desde verapaz san vicente pésimo servicio claro"," "
202006,"compártenos los datos de tu servicio por inbox para poder ayudarte quedamos a la espera saludos"," "
202006,"buenas tardes alex con mucho gusto brindaremos atención a tu caso mediante inbox nos mantenemos a la espera de tus comentarios saludos"," "
202006,"hola buenas tardes es un gusto poder saludarte mencionarte que con gusto brindaremos un seguimiento más personalizado a tu caso te invitamos puedas escribirnos vía inbox quedamos a la espera de tus comentarios saludos"," "
202006,"en parte de zacatecoluca no hay internet"," "
202006,"hola buenas noches si estas presentando inconvenientes con nuestros servicios envíanos tus datos por medio de inbox para que podamos ayudarte quedamos a tus órdenes saludos"," "
202006,"4 dias sin internet pesimo servicio y siempre dicen lo mismo y asi van pasando los dias"," "
202006,"hola gerson buenas noches estamos interesados en dar seguimiento a tu caso solicitamos que nos envíes tus datos vía inbox quedamos a la espera de tus mensajes saludos"," "
202006,"gran labor a los que nos falla tengamos paciencia pronto resolverán"," "
202006,"no he tenido inter por más de 3 días y llamo y llamo y nunca responden pero para cobrar ahí si son buenos"," "
202006,"hola alex muy buenas noches para verificar tu caso escríbenos vía inbox saludos"," "
202006,"hola alex muy buenas noches para verificar tu caso escríbenos vía inbox saludos"," "
202006,"buenas tardes sigo esperando su respuesta necesito pagar mi servicio de cable y no se si ya tienen abiertas sus agencias aquí en soyapango x favor necesito que respondan"," "
202006,"buenas tardes es un gusto saludarte si deseas más información te invitamos a que nos escribas por inbox quedamos atentos saludos"," "
202006,"claro el salvador nesecito q bengan a reparar la linea de inter y una semana sin el servicio"," "
202006,"hola elena de rivas con el objetivo de ayudarte envíanos tus datos por medio de inbox quedamos a tus órdenes saludos"," "
202006,"claro el salvador"," "
202006,"claro el salvador"," "
202006,"cuando van a venir los técnicos 4 dias y el poste y cables aun siguen tirados claro el salvador"," "
202006,"con gusto verificamos sin embargo es necesario nos escribas vía inbox estaremos al pendiente saludos"," "
202006,"con gusto verificamos sin embargo es necesario nos escribas vía inbox estaremos al pendiente saludos"," "
202006,"y para las compras de equipos en línea los están enviando"," "
202006,"eliza alvarenga no tengo servicio de internet"," "
202006,"adquiere tu servicio de internet tigo de 5 mb 21 9910 mb 27 99o cable basico 165 canales mas internet de 5mb por 31 99cable basico 165 canales mas internet de 10 mb por 37 99contrato 12 meses no se ve dicom no pedimos comprobantes de ingresocosto unico de instalación 30"," "
202006,"que compromiso si ya vamos para jueves y no han venido arreglar nada a la san josé 2 de soyapango no sean mentirosos"," "
202006,"hola buenas noches si estas presentando inconvenientes con nuestros servicios envíanos tus datos por medio de inbox para que podamos ayudarte quedamos a tus órdenes saludos"," "
202006,"si quiera digan si me van a resolver oh no almenos descuenten de las factura los días que no tiene uno el servicio"," "
202006,"liberen mi número 78094286 porfavor melo an bloqueado es prepago"," "
202006,"debes de enviarnos un inbox junto con el número de tu servicio para poder ayudarte cuanto antes estaremos atentos feliz día"," "
202006,"debes de enviarnos un inbox junto con el número de tu servicio para poder ayudarte cuanto antes estaremos atentos feliz día"," "
202006,"hoy ya es el quinto día sin servicio de cable satelital aquí en la urbanización san marcos y la gran respuesta q dan vía inbox es que hasta q el día este soleado y canten los pajaritos van a poder ayudarnos que pésimo servicio de verás sólo espero que estos 5 días y contando me los descuenten en el próximo recibo"," "
202006,"excelente es parte de su compromiso por el servicio pero también deberían considerar conectar zonas que no tienen actualmente cobertura es lastimoso que en pleno siglo xxi aún hay zonas sin cobertura de cable de cobre"," "
202006,"hola estamos en toda la disposición de ayudarte escríbenos vía inbox para aclarar todas tus dudas y verificar lo que comentas estaremos atentos saludos"," "
202006,"hola buenas noches las disculpas por los inconvenientes le estamos dando seguimiento a tu caso por inbox quedamos a la espera de tus mensajes saludos"," "
202006,"buenas tardes quería pedir ayuda por favor soy docente se volvió a caer el internet desde la madrugada del 2 de junio ya lo reporte y no han hecho nada y si el lunes inician las clases tengo que recibir tareas de los alumnos ya tardaron demasiado"," "
202006,"hola buenas tardes melanie un gusto saludarte permítenos verificar tu caso y dar seguimiento escríbenos a través de inbox y con gusto te ayudamos quedamos al pendiente de tu mensaje saludos"," "
202006,"hola melanie nos encontramos a la espera de los datos solicitados cualquier duda o consulta estamos para servirte saludos"," "
202006,"señores de claro mi inter desde ase 4 dias no funciona mandar revicion tecnica porfa"," "
202006,"compártenos los datos de tu servicio por inbox para poder ayudarte quedamos a la espera saludos"," "
202006,"hola melanie nos encontramos a la espera de los datos solicitados cualquier duda o consulta estamos para servirte saludos"," "
202006,"asi y por eso le estan cobrando mora ala gente por q se retrase dos pinches dias cuando el presidente dijo q no nos cobrarian mora si q son una basura"," "
202006,"hola buenos días leticia menjivar estamos con toda la disposición ayudarte envíanos tus datos por medio de inbox quedamos a tus órdenes saludos"," "
202006,"hola buenos días leticia menjivar estamos con toda la disposición ayudarte envíanos tus datos por medio de inbox quedamos a tus órdenes saludos"," "
202006,"pues es mentira a mi desde la tormenta se me arruino y no me resuelven"," "
202006,"buen día por inbox te estamos brindando ayuda saludos"," "
202006,"buen día por inbox te estamos brindando ayuda saludos"," "
202006,"solo quiero poner solo cable claro les mando mensajes y no me dicen nada concretoqueria saber cuanto cuesta solo el cable y si también cobran la instalación"," "
202006,"hola buenas noches le estamos dando seguimiento a tu caso por inbox quedamos a la espera de tus mensajes saludos"," "
202006,"hola buenas noches le estamos dando seguimiento a tu caso por inbox quedamos a la espera de tus mensajes saludos"," "
202006,"hola buenas noches le estamos dando seguimiento a tu caso por inbox quedamos a la espera de tus mensajes saludos"," "
202006,"y las entregas de las compras en línea"," "
202006,"buenos días con gusto ampliaremos la información a tu consulta contactanos por medio de inbox para brindarte una atención personalizada quedamos a tus órdenes saludos"," "
202006,"marisol lopez inbox"," "
202006,"desde el viernes les escribi por problema con línea fija y no contestan"," "
202006,"roxana díaz buenos días mi nombre es eliza y soy gestor de agencia claro con gusto puedo darle seguimiento a su caso me podría enviar la información de su servicio via inbox"," "
202006,"en el lago de ilopango hay mala recepción de internet"," "
202006,"trato de hacer una compra en linea y no me da paso desde el correo"," "
202006,"buenos días ernesto estamos interesados en ayudarte por favor envíanos tus datos por medio de inbox estaremos atentos a tus comentarios saludos"," "
202006,"por qué no cierran pagos también por qué yo ise un pago que asta al día de hoy no lo an actualizado los datos y el otro resivo ya me llegó y con mora por error de la empresa dos que solo personas afectadas por el cov 19 seles perdonará dicha deuda pausada acaso son elegidas las personas afectadas gente estupenda todos somos afectados en la situación"," "
202006,"hola marcos a hm con el objetivo de ayudarte envíanos tus datos por medio de inbox quedamos a tus órdenes saludos"," "
202006,"ayuda en san marcos col el milagro debido a un árbol caido se reventaron los cables del internet"," "
202006,"hola roxy rivas con el objetivo de ayudarte envíanos tus datos por medio de inbox quedamos a tus órdenes saludos"," "
202006,"roxy rivas mi nombre es jonathan gonzález soy asesor de agencia si gusta envíeme sus datos a whatsapp 78536771 para darle seguimiento a su caso"," "
202006,"se pueden hacer llamadas al call center"," "
202006,"hola a través de este medio podemos ayudarte envíanos un inbox por favor saludos"," "
202006,"cuando volverán a aperturar y que agencias estarán abiertas"," "
202006,"hola buenos días croch chaggy las disculpas por los inconvenientes las agencias estarán abriendo hasta nuevo aviso debido a la emergencia nacional que por el momento tenemos esperamos que sea en el menor tiempo posible para poder ayudarte en tus consultas feliz día"," "
202006,"endejos deverian de darnor gratis estos meces mas dificil perros mañosos"," "
202006,"hola marcos a hm con el objetivo de ayudarte envíanos tus datos por medio de inbox quedamos a tus órdenes saludos"," "
202006,"buenos días con gusto ampliaremos la información a tu consulta contactanos por medio de inbox para brindarte una atención personalizada quedamos a tus órdenes saludos"," "
202006,"y para pagar facturas como hacer"," "
202006,"hola buenos días julia garcia mencionarte que puedes realizar los pagos por estos medios marcando desde líneas fijas o celulares de otras compañías el 22505555 opciones 1 4 marcando gratis 90 desde celulares claro marcando gratis desde celulares claro el 85 opciones 1 4 ellos atienden de 7 00am a 10 00pm también puedes realizar el pago en cualquier de nuestras agencias adicional comentarte que puedes realizar el pago en sv mipagoclaro com puntos express farmacias o super selectos"," "
202006,"debieron poner los modems usb en miclaro porque el municipio ya no hay recargas"," "
202006,"buenos días con gusto te ayudamos envíanos por favor un inbox con tus datos para verificar lo que nos indicas quedamos a la espera saludos"," "
202006,"mejor así no pago así que no vallana a estar jodiendo ami casa hablandome"," "
202006,"sus tiendas se encuentran abiertas o no"," "
202006,"en la zona de soyapango desde ayer en horas de la madrugada estoy sin cable ni con internet"," "
202006,"sean responsables"," "
202006,"buenos días con el objetivo de ayudarte envíanos por favor un inbox con tus datos para verificar lo que nos reportas quedamos a la espera saludos"," "
202006,"erick lucero buenos días mi nombre es eliza y soy gestor de agencia claro con gusto puedo darle seguimiento a su caso me podría enviar la información de su servicio via inbox"," "
202006,"no todos podemos pagar en linea"," "
202006,"hola buenos días carlos en caso de presentar inconvenientes con el pago de tus servicios claro puedes enviarnos tus datos vía inbox y con gusto te ayudamos saludos"," "
202006,"erick lucero ya es hora de un cambio"," "
202006,"san juan tepezontes la paz no hay wifi ni señal claro desde ayer por la mañana"," "
202006,"hola mirian por favor escríbenos vía inbox con tus datos para poder ayudarte quedamos a la espera saludos"," "
202006,"necesito que me solucionen un problema con el cable satelital"," "
202006,"buenos días joseph estamos interesados en ayudarte por favor envíanos tus datos por medio de inbox estaremos atentos a tus comentarios saludos"," "
202006,"orantes joseph buenos días mi nombre es eliza y soy gestor de agencia claro con gusto puedo darle seguimiento a su caso me podría enviar la información de su servicio via inbox"," "
202006,"eliza alvarenga tengo problema con el control remoto ya no funciona"," "
202006,"por favor envíanos el número del servicio vía inbox para brindar seguimiento a tu caso quedamos atentos a tus comentarios saludos"," "
202006,"señores necesito pagar la factura pero no es el saldo que tengo que pagar el mes pasado lo arreglaron y si no me llaman pues no pago"," "
202006,"en lago de ilopango joya grande no hay señal claro porfa manden areglan porq la gente pone paquetes y seles va a terminar sin usarlo vallan por uno se puede comunicar con ellos nos urge el servicio ahi gracias"," "
202006,"buenos días con el objetivo de ayudarte envíanos tus datos por medio de inbox quedamos a tus órdenes saludos"," "
202006,"en pocas palabras si por las redes sociales y por llamada no solucionaban nada ahora para colmo cierran las agencias"," "
202006,"hola con el objetivo de ayudarte envíanos tus datos por medio de inbox quedamos a tus órdenes saludos"," "
202006,"hola con el objetivo de ayudarte aun se están realizando envíos a nivel nacional cualquier duda o consulta puedes escribirnos vía inbox saludos"," "
202006,"buenos días con el objetivo de ayudarte envíanos por favor un inbox con tus datos para verificar lo que nos reportas quedamos a la espera saludos"," "
202006,"no se si me pueden regalar el número de teléfono"," "
202006,"total ni solucionan nada"," "
202006,"buen día en soyapango sigo sin internet y cable por favor atender necesito el internet para trabajar"," "
202006,"buen día envíanos por inbox el número de tu servicio para poder verificar lo que nos comentas saludos"," "
202006,"loren garcia buenos días mi nombre es eliza y soy gestor de agencia claro con gusto puedo darle seguimiento a su caso me podría enviar la información de su servicio via inbox"," "
202006,"loren garcia inbox"," "
202006,"hola con el objetivo de ayudarte si continúan los envíos a nivel nacional cualquier duda o consulta puedes escribirnos por medio de inbox quedamos a tus órdenes saludos"," "
202006,"hola buenos días croch chaggy las disculpas por los inconvenientes las agencias estarán abriendo hasta nuevo aviso debido a la emergencia nacional que por el momento tenemos esperamos que sea en el menor tiempo posible para poder ayudarte en tus consultas feliz día"," "
202006,"muy bien hay que ser precavidos pero podrían por favor arreglar la señal móvil en mejicanos la montreal son ratitos que medio pega el inter para enviar un mensaje después ya no pega el internet gracias"," "
202006,"buenos días william estamos interesados en ayudarte por favor envíanos tus datos por medio de inbox estaremos atentos a tus comentarios saludos"," "
202006,"buenos días con el objetivo de ayudarte envíanos tus datos por medio de inbox quedamos a tus órdenes saludos"," "
202006,"x las emergencias le an subido ala tarjeta d 3 50 considerandolo a uno"," "
202006,"buen día envíanos por inbox el número de tu servicio para poder verificar lo que nos comentas saludos"," "
202006,"este claro si que esta mal en santa tecla a los policías uniformados el vigulante los quiere desarmar por orden de la gerente de la sucursal doce que es de ley saber cual ley y a nadie registran otra persona particular puede entrar armada y no se sabe que tipo de persona es en cambio el identificado como autoridad no lo dejan entrar a pagar así señores carlo tomen nota"," "
202006,"hola buenos días es un gusto poder saludarte mencionarte que con gusto brindaremos un seguimiento más personalizado a tu consulta te invitamos puedas escribirnos vía inbox quedamos a la espera de tus comentarios saludos"," "
202006,"hola buenos días miguel martinez estamos interesados en conocer tu caso con el fin de brindarte una atención personalizada por favor envíanos tus datos vía inbox quedamos atentos a tus comentarios saludos"," "
202006,"y para los que no pueden pagar en línea como se puede hacer"," "
202006,"buenos días si no puedes generar el pago por medio de sv mipagoclaro com puedes realizarlo en llamada por medio del 22505555 opción 1 4 saludos"," "
202006,"no entiendo porque me suspenden línea fija y internet necesito solución"," "
202006,"karlita romero buenos días mi nombre es eliza y soy gestor de agencia claro con gusto puedo darle seguimiento a su caso me podría enviar la información de su servicio via inbox"," "
202006,"con gusto verificamos tu caso sin embargo es necesario nos escribas vía inbox estaremos al pendiente saludos"," "
202006,"esa forma de pago no sirve una ves lo utilice y cuando quice ir a pagar mi siguiente factura me salueron que debía y pase un mes asi hasta que arreglaran esa situación"," "
202006,"hola con el objetivo de ayudarte envíanos tus datos por medio de inbox quedamos a tus órdenes saludos"," "
202006,"que necesito para contratar servicio de internet"," "
202006,"buenos días los requisitos que te solicitamos son dui comprobante de ingresos facturas de servicio de agua o luz y referencias te esperamos en cualquiera de nuestras agencias o si lo prefieres puedes indicarnos vía inbox un número para contactarte saludos"," "
202006,"inbox"," "
202006,"daniel vasquez le envie inbox"," "
202006,"le envíe mensaje"," "
202006,"me pueden enviar mi factura a mí correo por favor"," "
202006,"hola elizabeth con gusto por favor envíanos un inbox con tu número y correo electrónico para poder enviarlo quedamos al pendiente"," "
202006,"eliizzabetth henriquez buenos días con gusto puedo darle seguimiento a su caso me podría enviar la información de su servicio via inbox"," "
202006,"y los envíos de celulares que se compraron en linea los paralizaron o estaran enviando"," "
202006,"hola con el objetivo de ayudarte envíanos tus datos por medio de inbox quedamos a tus órdenes saludos"," "
202006,"adriana ceflome buenos días con gusto puedo darle seguimiento a su caso me podría enviar la información de su servicio via inbox"," "
202006,"yo hasta me rebusque para pagar el recibo en linea para que el servicio no me falte y soy la unica del pasaje que nl tiene ningun servicio en serio lo digo claro es nefasto comprendo que estamos en emergencia etc pero si hay servicio claro en la colonia en el pasaje porque no tengo yo cuento los dias para que se me termine el contrato ya piensenlo antes de contratar con claro"," "
202006,"mndz lau buenos días mi nombre es eliza y soy gestor de agencia claro con gusto puedo darle seguimiento a su caso me podría enviar la información de su servicio via inbox"," "
202006,"buenos días estamos en la disposición de ayudarte por este medio envíanos por favor un inbox con tus datos para verificar lo que nos reportas quedamos a la espera de la información saludos"," "
202006,"cuando ban arreglar la señal en talcomunca porqe deqedias estafallando"," "
202006,"hola claudia con el objetivo de ayudarte envíanos tus datos por medio de inbox quedamos a tus órdenes saludos"," "
202006,"necesito que me cambien una caja para el cable no me funciona"," "
202006,"mery de tobar buenos días mi nombre es eliza y soy gestor de agencia claro con gusto puedo darle seguimiento a su caso me podría enviar la información de su servicio via inbox"," "
202006,"buenos días estamos interesados en ayudarte por favor envíanos tus datos por medio de inbox estaremos atentos a tus comentarios saludos"," "
202006,"me están enviando msj que me acerqué a la agencia a cancelar mi recibo y ahora publican eso pónganse de acuerdo entonces mal servicio"," "
202006,"hola buenos días tony es un gusto poder saludarte comentarte que ponemos a tu disposición http miclaro com sv si deseas realizar pago de facturas cualquier duda o consulta puedes escribirnos por medio de inbox saludos"," "
202006,"sres de claro ayudennos nuestro servicio de telefonia móvil e internet fijo es pesimo en el municipio de tapalhuaca departamento de la paz y esto ya tiene mucho tiempo ya es tiempo de que nos resuelvan este problema"," "
202006,"por favor envíanos el número del servicio vía inbox para brindar seguimiento a tu caso quedamos atentos a tus comentarios saludos"," "
202006,"necesito q me ayuden con el inter son unos desgraciados porq cancelaron el contrato para q pudieramos tomar otro y me dejaron sin internet"," "
202006,"hola buenos días nos interesa conocer los detalles sobre lo que nos comentas envíanos tus datos por inbox por favor estaremos a la espera saludos cordiales"," "
202006,"stephanie guevara le deje inbox"," "
202006,"stephanie guevara inbox"," "
202006,"yo solo puedo pagar en efectivo espero sean comprensibles y no me vallan a poner recargos por el retraso ya que por la alerta roja no se puede salir espero no me vallan a salir con sorpresas cuando después"," "
202006,"hola ericks con gusto te hemos escrito en inbox para brindarte asistencia saludos"," "
202006,"hola buenos días nos interesa conocer los detalles sobre lo que nos comentas envíanos tus datos por inbox por favor estaremos a la espera saludos cordiales"," "
202006,"tengan cuidado a la hora de pagar el líneala compañía claro está haciendo cobros en medio de la pandemia y es lamentable de que algunas personas con sacrificio están pagando sus cuotas atrasadas porque se ven amenazados con que les van a suspender el servicio algunas personas están realizando los pagos en línea porque las agencias están cerradas pero después cuando consultan resulta que los pagos no han sido realizados cuando los clientes ya han pagado pero en el sistema de claro no está reflejando dichos pagos de dichas facturas y las siguen acumulando"," "
202006,"peter ramírez y mi becina k así lo kiere pagar"," "
202006,"nooooooooooooo nooooooooooooo se lo recomiendo a estos señores ya les dije oh m solucionan o se entienden con mi abogado y la defensoría para el consumidor por timos"," "
202006,"hola peter buenas noches le estamos dando seguimiento a tu caso por inbox quedamos a la espera de tu respuesta saludos"," "
202006,"hola peter te hemos brindado respuesta por inbox cualquier duda o consulta estamos para servirte feliz noche"," "
202006,"hola lupita para realizar pagos ponemos a tu disposición los siguientes medios desde la web sv mipagoclaro com marcando desde líneas fijas o celulares de otras compañías el 22505555 opciones 1 4 marcando 90 desde celulares claro marcando desde celulares claro el 85 opciones 1 4 cualquier duda o consulta estamos para servirte feliz noche"," "
202006,"claro el salvador emiten comprobante de pago"," "
202006,"la señal también la cerraron verdad"," "
202006,"buenos días estamos interesados en ayudarte por favor envíanos tus datos por medio de inbox estaremos atentos a tus comentarios saludos"," "
202006,"y también por correo me pueden enviar los megas que me están robando digo ya que en ninguna de sus mil formas de contactarse contestan a menos que sea para cobrar le hablan a uno"," "
202006,"quedamos a la espera de tus datos por inbox para poder ayudarte saludos"," "
202006,"no estén cobrando mora"," "
202006,"buenos días en apopa sigo sin internet desde ayer"," "
202006,"hola ceflome adriana con el objetivo de ayudarte envíanos tus datos por medio de inbox quedamos a tus órdenes saludos"," "
202006,"adriana ceflome le deje inbox"," "
202006,"hola buenos días estamos en toda la disposición de ayudarte puedes escribirnos al inbox para darte asistencia"," "
202006,"claro el salvador desde ayer no tengo señal de internet"," "
202006,"sandra xiomara henríquez martinez id 85697951"," "
202006,"para poder brindarte una atención de manera personalizada solicitamos que puedas contactarnos vía inbox quedamos en espera de tus mensajes saludos"," "
202006,"adriana ceflome mi nombre es jonathan gonzález soy asesor de agencia si gusta envíeme sus datos a whatsapp 78536771 para darle seguimiento a su caso"," "
202006,"si para cobrar buenisimos pero para dar buen servicio nada hoy cerrados y su el inter se nos fue o el cable bien chiche no hay aparte de estar enserrados aburridos pero ellos son excelente para cobrar son de las peores empresas"," "
202006,"buenos días estamos interesados en ayudarte por favor envíanos tus datos por medio de inbox estaremos atentos a tus comentarios saludos"," "
202006,"odette zaldaña buenos días mi nombre es eliza y soy gestor de agencia claro con gusto puedo darle seguimiento a su caso me podría enviar la información de su servicio via inbox"," "
202006,"necesito saber el saldo de mi factura para poder pagar el 22828105"," "
